onset,duration,description
0,55,ignore
5.50E+10,5,like
6.00E+10,5,like
6.50E+10,5,like
7.00E+10,5,like
7.50E+10,5,like
8.00E+10,5,like
8.50E+10,15,ignore
1.00E+11,5,dislike
1.05E+11,5,dislike
1.10E+11,5,dislike
1.15E+11,5,dislike
1.20E+11,5,dislike
1.25E+11,5,dislike
1.30E+11,15,ignore
1.45E+11,5,like
1.50E+11,5,like
1.55E+11,5,like
1.60E+11,5,like
1.65E+11,5,like
1.70E+11,5,like
1.75E+11,15,ignore
1.90E+11,5,dislike
1.95E+11,5,dislike
2.00E+11,5,dislike
2.05E+11,5,dislike
2.10E+11,5,dislike
2.15E+11,5,dislike
2.20E+11,15,ignore
2.35E+11,5,like
2.40E+11,5,like
2.45E+11,5,like
2.50E+11,5,like
2.55E+11,5,like
2.60E+11,5,like
2.65E+11,15,ignore
2.80E+11,5,dislike
2.85E+11,5,dislike
2.90E+11,5,dislike
2.95E+11,5,dislike
3.00E+11,5,dislike
3.05E+11,5,dislike
3.10E+11,15,ignore
3.25E+11,5,like
3.30E+11,5,like
3.35E+11,5,like
3.40E+11,5,like
3.45E+11,5,like
3.50E+11,5,like
3.55E+11,15,ignore
3.70E+11,5,dislike
3.75E+11,5,dislike
3.80E+11,5,dislike
3.85E+11,5,dislike
3.90E+11,5,dislike
3.95E+11,5,dislike
4.00E+11,15,ignore
4.15E+11,5,like
4.20E+11,5,like
4.25E+11,5,like
4.30E+11,5,like
4.35E+11,5,like
4.40E+11,5,like
4.45E+11,15,ignore
4.60E+11,5,dislike
4.65E+11,5,dislike
4.70E+11,5,dislike
4.75E+11,5,dislike
4.80E+11,5,dislike
4.85E+11,5,dislike
4.90E+11,15,ignore
5.05E+11,5,like
5.10E+11,5,like
5.15E+11,5,like
5.20E+11,5,like
5.25E+11,5,like
5.30E+11,5,like
5.35E+11,15,ignore
5.50E+11,5,dislike
5.55E+11,5,dislike
5.60E+11,5,dislike
5.65E+11,5,dislike
5.70E+11,5,dislike
5.75E+11,5,dislike
5.80E+11,15,ignore
5.95E+11,5,like
6.00E+11,5,like
6.05E+11,5,like
6.10E+11,5,like
6.15E+11,5,like
6.20E+11,5,like
6.25E+11,15,ignore
6.40E+11,5,dislike
6.45E+11,5,dislike
6.50E+11,5,dislike
6.55E+11,5,dislike
6.60E+11,5,dislike
6.65E+11,5,dislike
6.70E+11,15,ignore
6.85E+11,5,like
6.90E+11,5,like
6.95E+11,5,like
7.00E+11,5,like
7.05E+11,5,like
7.10E+11,5,like
7.15E+11,15,ignore
7.30E+11,5,dislike
7.35E+11,5,dislike
7.40E+11,5,dislike
7.45E+11,5,dislike
7.50E+11,5,dislike
7.55E+11,5,dislike
7.60E+11,15,ignore
7.75E+11,5,like
7.80E+11,5,like
7.85E+11,5,like
7.90E+11,5,like
7.95E+11,5,like
8.00E+11,5,like
8.05E+11,15,ignore
8.20E+11,5,dislike
8.25E+11,5,dislike
8.30E+11,5,dislike
8.35E+11,5,dislike
8.40E+11,5,dislike
8.45E+11,5,dislike
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
